timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%], utilization.memory [%]
2026/07/19 10:12:31.406, 2685 MHz, 66, 54.81 W, 97 %, 25 %
2026/07/19 10:12:31.607, 2685 MHz, 66, 54.81 W, 97 %, 25 %
2026/07/19 10:12:31.818, 2685 MHz, 64, 48.33 W, 96 %, 20 %
2026/07/19 10:12:32.018, 2685 MHz, 64, 48.33 W, 96 %, 20 %
2026/07/19 10:12:32.221, 2685 MHz, 64, 48.33 W, 96 %, 20 %
2026/07/19 10:12:32.422, 2685 MHz, 64, 43.60 W, 98 %, 15 %
2026/07/19 10:12:32.627, 2685 MHz, 64, 43.60 W, 98 %, 15 %
2026/07/19 10:12:32.829, 2685 MHz, 63, 38.99 W, 98 %, 10 %
2026/07/19 10:12:33.032, 2685 MHz, 63, 38.99 W, 98 %, 10 %
2026/07/19 10:12:33.236, 2685 MHz, 63, 38.99 W, 98 %, 10 %
2026/07/19 10:12:33.448, 2685 MHz, 64, 38.03 W, 98 %, 12 %
2026/07/19 10:12:33.649, 2685 MHz, 64, 38.03 W, 98 %, 12 %
2026/07/19 10:12:33.850, 2685 MHz, 64, 35.03 W, 98 %, 9 %
2026/07/19 10:12:34.052, 2685 MHz, 64, 35.03 W, 98 %, 9 %
2026/07/19 10:12:34.267, 2685 MHz, 64, 35.03 W, 98 %, 9 %
2026/07/19 10:12:34.468, 2685 MHz, 63, 30.51 W, 98 %, 10 %
2026/07/19 10:12:34.679, 2685 MHz, 63, 30.51 W, 98 %, 10 %
2026/07/19 10:12:34.881, 2685 MHz, 63, 34.25 W, 98 %, 8 %
2026/07/19 10:12:35.084, 2685 MHz, 63, 34.25 W, 98 %, 8 %
2026/07/19 10:12:35.288, 2685 MHz, 64, 34.49 W, 99 %, 5 %
2026/07/19 10:12:35.502, 2685 MHz, 64, 34.49 W, 99 %, 5 %
2026/07/19 10:12:35.704, 2685 MHz, 64, 34.49 W, 99 %, 5 %
2026/07/19 10:12:35.909, 2685 MHz, 64, 34.49 W, 98 %, 5 %
2026/07/19 10:12:36.110, 2685 MHz, 64, 34.49 W, 98 %, 5 %
2026/07/19 10:12:36.325, 2685 MHz, 63, 34.44 W, 98 %, 9 %
2026/07/19 10:12:36.537, 2685 MHz, 63, 34.44 W, 98 %, 9 %
2026/07/19 10:12:36.743, 2685 MHz, 63, 34.44 W, 98 %, 9 %
2026/07/19 10:12:36.948, 2685 MHz, 63, 35.19 W, 98 %, 9 %
2026/07/19 10:12:37.161, 2685 MHz, 63, 35.19 W, 98 %, 9 %
2026/07/19 10:12:37.375, 2685 MHz, 63, 34.48 W, 97 %, 9 %
2026/07/19 10:12:37.578, 2685 MHz, 63, 34.48 W, 97 %, 9 %
2026/07/19 10:12:37.783, 2685 MHz, 63, 34.07 W, 98 %, 9 %
2026/07/19 10:12:37.983, 2685 MHz, 63, 34.07 W, 98 %, 9 %
2026/07/19 10:12:38.186, 2685 MHz, 63, 34.07 W, 98 %, 9 %
2026/07/19 10:12:38.388, 2550 MHz, 68, 38.58 W, 94 %, 43 %
2026/07/19 10:12:38.592, 2550 MHz, 68, 38.58 W, 94 %, 43 %
2026/07/19 10:12:38.793, 2685 MHz, 67, 47.51 W, 97 %, 18 %
2026/07/19 10:12:38.994, 2685 MHz, 67, 47.51 W, 97 %, 18 %
2026/07/19 10:12:39.202, 2685 MHz, 67, 47.51 W, 97 %, 18 %
2026/07/19 10:12:39.404, 2685 MHz, 66, 43.85 W, 98 %, 15 %
2026/07/19 10:12:39.607, 2685 MHz, 66, 43.85 W, 98 %, 15 %
2026/07/19 10:12:39.808, 2685 MHz, 65, 38.18 W, 97 %, 11 %
2026/07/19 10:12:40.023, 2685 MHz, 65, 38.18 W, 97 %, 11 %
2026/07/19 10:12:40.236, 2685 MHz, 65, 38.18 W, 97 %, 11 %
2026/07/19 10:12:40.441, 2685 MHz, 65, 37.61 W, 98 %, 8 %
2026/07/19 10:12:40.643, 2685 MHz, 65, 37.61 W, 98 %, 8 %
2026/07/19 10:12:40.846, 2685 MHz, 64, 38.07 W, 98 %, 11 %
2026/07/19 10:12:41.047, 2685 MHz, 64, 38.07 W, 98 %, 11 %
2026/07/19 10:12:41.247, 2685 MHz, 64, 38.07 W, 98 %, 11 %
2026/07/19 10:12:41.449, 2685 MHz, 65, 33.29 W, 98 %, 6 %
2026/07/19 10:12:41.652, 2685 MHz, 65, 33.29 W, 98 %, 6 %
2026/07/19 10:12:41.854, 2685 MHz, 64, 35.79 W, 98 %, 8 %
2026/07/19 10:12:42.056, 2685 MHz, 64, 35.79 W, 98 %, 8 %
2026/07/19 10:12:42.259, 2685 MHz, 64, 35.79 W, 98 %, 8 %
2026/07/19 10:12:42.471, 2685 MHz, 65, 34.68 W, 98 %, 4 %
2026/07/19 10:12:42.676, 2685 MHz, 65, 34.68 W, 98 %, 4 %
2026/07/19 10:12:42.878, 2685 MHz, 64, 34.59 W, 98 %, 6 %
2026/07/19 10:12:43.089, 2685 MHz, 64, 34.59 W, 98 %, 6 %
2026/07/19 10:12:43.299, 2685 MHz, 64, 34.72 W, 98 %, 9 %
2026/07/19 10:12:43.503, 2685 MHz, 64, 34.72 W, 98 %, 9 %
2026/07/19 10:12:43.706, 2685 MHz, 64, 34.72 W, 98 %, 9 %
2026/07/19 10:12:43.909, 2685 MHz, 64, 34.68 W, 98 %, 9 %
2026/07/19 10:12:44.112, 2685 MHz, 64, 34.68 W, 98 %, 9 %
2026/07/19 10:12:44.316, 2685 MHz, 64, 34.65 W, 98 %, 9 %
2026/07/19 10:12:44.517, 2685 MHz, 64, 34.65 W, 98 %, 9 %
2026/07/19 10:12:44.724, 2685 MHz, 64, 34.65 W, 98 %, 9 %
2026/07/19 10:12:44.929, 2685 MHz, 64, 34.44 W, 97 %, 8 %
2026/07/19 10:12:45.134, 2685 MHz, 64, 34.44 W, 97 %, 8 %
2026/07/19 10:12:45.348, 2685 MHz, 64, 34.32 W, 98 %, 9 %
2026/07/19 10:12:45.551, 2685 MHz, 64, 34.32 W, 98 %, 9 %
2026/07/19 10:12:45.753, 2685 MHz, 64, 34.32 W, 98 %, 9 %
2026/07/19 10:12:45.966, 2535 MHz, 67, 43.48 W, 95 %, 39 %
2026/07/19 10:12:46.170, 2535 MHz, 67, 43.48 W, 95 %, 39 %
2026/07/19 10:12:46.374, 2685 MHz, 67, 48.44 W, 97 %, 14 %
2026/07/19 10:12:46.576, 2685 MHz, 67, 48.44 W, 97 %, 14 %
2026/07/19 10:12:46.779, 2685 MHz, 67, 48.44 W, 97 %, 14 %
2026/07/19 10:12:46.984, 2685 MHz, 66, 46.00 W, 98 %, 14 %
2026/07/19 10:12:47.186, 2685 MHz, 66, 46.00 W, 98 %, 14 %
2026/07/19 10:12:47.390, 2685 MHz, 66, 41.76 W, 97 %, 13 %
2026/07/19 10:12:47.591, 2685 MHz, 66, 41.76 W, 97 %, 13 %
2026/07/19 10:12:47.798, 2685 MHz, 65, 39.07 W, 97 %, 10 %
2026/07/19 10:12:48.012, 2685 MHz, 65, 39.07 W, 97 %, 10 %
2026/07/19 10:12:48.215, 2685 MHz, 65, 39.07 W, 97 %, 10 %
2026/07/19 10:12:48.430, 2685 MHz, 65, 37.76 W, 98 %, 9 %
2026/07/19 10:12:48.640, 2685 MHz, 65, 37.76 W, 98 %, 9 %
2026/07/19 10:12:48.843, 2685 MHz, 66, 37.04 W, 98 %, 10 %
2026/07/19 10:12:49.043, 2685 MHz, 66, 37.04 W, 98 %, 10 %
2026/07/19 10:12:49.249, 2685 MHz, 66, 37.04 W, 98 %, 10 %
2026/07/19 10:12:49.460, 2685 MHz, 65, 36.02 W, 98 %, 8 %
2026/07/19 10:12:49.675, 2685 MHz, 65, 36.02 W, 98 %, 8 %
2026/07/19 10:12:49.875, 2685 MHz, 66, 36.26 W, 98 %, 7 %
2026/07/19 10:12:50.078, 2685 MHz, 66, 36.26 W, 98 %, 7 %
2026/07/19 10:12:50.282, 2685 MHz, 66, 34.78 W, 98 %, 9 %
2026/07/19 10:12:50.495, 2685 MHz, 66, 34.78 W, 98 %, 9 %
2026/07/19 10:12:50.696, 2685 MHz, 66, 34.78 W, 98 %, 9 %
2026/07/19 10:12:50.898, 2685 MHz, 65, 35.68 W, 97 %, 10 %
2026/07/19 10:12:51.103, 2685 MHz, 65, 35.68 W, 97 %, 10 %
2026/07/19 10:12:51.304, 2685 MHz, 65, 34.64 W, 98 %, 9 %
2026/07/19 10:12:51.516, 2685 MHz, 65, 34.64 W, 98 %, 9 %
2026/07/19 10:12:51.720, 2685 MHz, 65, 34.64 W, 98 %, 9 %
2026/07/19 10:12:51.935, 2685 MHz, 66, 34.59 W, 98 %, 10 %
2026/07/19 10:12:52.135, 2685 MHz, 66, 34.59 W, 98 %, 10 %
2026/07/19 10:12:52.337, 2685 MHz, 65, 34.76 W, 98 %, 9 %
2026/07/19 10:12:52.542, 2685 MHz, 65, 34.76 W, 98 %, 9 %
2026/07/19 10:12:52.744, 2685 MHz, 65, 34.76 W, 98 %, 9 %
2026/07/19 10:12:52.945, 2685 MHz, 69, 42.98 W, 93 %, 18 %
2026/07/19 10:12:53.146, 2685 MHz, 69, 42.98 W, 93 %, 18 %
2026/07/19 10:12:53.349, 2685 MHz, 69, 51.22 W, 91 %, 23 %
2026/07/19 10:12:53.549, 2685 MHz, 69, 51.22 W, 91 %, 23 %
2026/07/19 10:12:53.751, 2685 MHz, 69, 51.22 W, 91 %, 23 %
2026/07/19 10:12:53.954, 2685 MHz, 67, 39.39 W, 94 %, 19 %
2026/07/19 10:12:54.156, 2685 MHz, 67, 39.39 W, 94 %, 19 %
2026/07/19 10:12:54.359, 2685 MHz, 68, 42.11 W, 96 %, 15 %
2026/07/19 10:12:54.564, 2685 MHz, 68, 42.11 W, 96 %, 15 %
2026/07/19 10:12:54.773, 2685 MHz, 68, 42.11 W, 96 %, 15 %
2026/07/19 10:12:54.982, 2685 MHz, 67, 38.16 W, 96 %, 10 %
2026/07/19 10:12:55.186, 2685 MHz, 67, 38.16 W, 96 %, 10 %
2026/07/19 10:12:55.400, 2685 MHz, 67, 37.47 W, 95 %, 12 %
2026/07/19 10:12:55.601, 2685 MHz, 67, 37.47 W, 95 %, 12 %
2026/07/19 10:12:55.803, 2685 MHz, 66, 37.54 W, 96 %, 9 %
2026/07/19 10:12:56.005, 2685 MHz, 66, 37.54 W, 96 %, 9 %
2026/07/19 10:12:56.209, 2685 MHz, 66, 37.54 W, 96 %, 9 %
2026/07/19 10:12:56.418, 2685 MHz, 67, 37.19 W, 96 %, 10 %
2026/07/19 10:12:56.619, 2685 MHz, 67, 37.19 W, 96 %, 10 %
2026/07/19 10:12:56.820, 2685 MHz, 66, 35.38 W, 96 %, 10 %
2026/07/19 10:12:57.030, 2685 MHz, 66, 35.38 W, 96 %, 10 %
2026/07/19 10:12:57.233, 2685 MHz, 66, 35.38 W, 96 %, 10 %
2026/07/19 10:12:57.434, 2685 MHz, 66, 35.32 W, 96 %, 8 %
2026/07/19 10:12:57.637, 2685 MHz, 66, 35.32 W, 96 %, 8 %
2026/07/19 10:12:57.840, 2685 MHz, 66, 36.03 W, 97 %, 8 %
2026/07/19 10:12:58.045, 2685 MHz, 66, 36.03 W, 97 %, 8 %
2026/07/19 10:12:58.255, 2685 MHz, 66, 36.03 W, 97 %, 8 %
2026/07/19 10:12:58.457, 2685 MHz, 67, 32.80 W, 98 %, 4 %
2026/07/19 10:12:58.658, 2685 MHz, 67, 32.80 W, 98 %, 4 %
2026/07/19 10:12:58.859, 2685 MHz, 66, 33.76 W, 97 %, 3 %
2026/07/19 10:12:59.071, 2685 MHz, 66, 33.76 W, 97 %, 3 %
2026/07/19 10:12:59.276, 2685 MHz, 66, 33.76 W, 97 %, 3 %
2026/07/19 10:12:59.482, 2685 MHz, 67, 34.15 W, 97 %, 8 %
2026/07/19 10:12:59.683, 2685 MHz, 67, 34.15 W, 97 %, 8 %
2026/07/19 10:12:59.884, 2685 MHz, 66, 34.46 W, 98 %, 4 %
2026/07/19 10:13:00.086, 2685 MHz, 66, 34.46 W, 98 %, 4 %
2026/07/19 10:13:00.299, 2685 MHz, 65, 33.89 W, 10 %, 3 %
2026/07/19 10:13:00.501, 2685 MHz, 65, 33.89 W, 10 %, 3 %
2026/07/19 10:13:00.702, 2685 MHz, 65, 33.89 W, 10 %, 3 %
2026/07/19 10:13:00.903, 2685 MHz, 64, 28.06 W, 0 %, 0 %
2026/07/19 10:13:01.118, 2685 MHz, 64, 28.06 W, 0 %, 0 %
2026/07/19 10:13:01.322, 2685 MHz, 64, 20.80 W, 0 %, 0 %
2026/07/19 10:13:01.533, 2685 MHz, 64, 20.80 W, 0 %, 0 %
2026/07/19 10:13:01.741, 2685 MHz, 64, 20.80 W, 0 %, 0 %
2026/07/19 10:13:01.956, 2685 MHz, 64, 18.66 W, 0 %, 0 %
2026/07/19 10:13:02.158, 2055 MHz, 48, 1.20 W, 0 %, 0 %
2026/07/19 10:13:02.849, 2055 MHz, 62, 12.27 W, 0 %, 0 %
2026/07/19 10:13:03.051, 2055 MHz, 62, 12.27 W, 0 %, 0 %
2026/07/19 10:13:03.264, 2055 MHz, 63, 13.10 W, 0 %, 0 %
2026/07/19 10:13:03.477, 2055 MHz, 63, 13.10 W, 0 %, 0 %
2026/07/19 10:13:03.678, 2055 MHz, 63, 13.10 W, 0 %, 0 %
2026/07/19 10:13:03.891, 2055 MHz, 63, 13.00 W, 0 %, 0 %
2026/07/19 10:13:04.093, 2055 MHz, 63, 13.00 W, 0 %, 0 %
2026/07/19 10:13:04.295, 2055 MHz, 63, 13.05 W, 0 %, 0 %
2026/07/19 10:13:04.509, 2055 MHz, 63, 13.05 W, 0 %, 0 %
2026/07/19 10:13:04.711, 2055 MHz, 63, 13.05 W, 0 %, 0 %
2026/07/19 10:13:04.915, 2055 MHz, 62, 13.18 W, 0 %, 0 %
2026/07/19 10:13:05.120, 2055 MHz, 62, 13.18 W, 0 %, 0 %
2026/07/19 10:13:05.324, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:05.529, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:05.733, 2055 MHz, 62, 13.12 W, 0 %, 0 %
2026/07/19 10:13:05.936, 2055 MHz, 62, 13.12 W, 0 %, 0 %
2026/07/19 10:13:06.147, 2055 MHz, 62, 13.12 W, 0 %, 0 %
2026/07/19 10:13:06.347, 2055 MHz, 62, 13.26 W, 0 %, 0 %
2026/07/19 10:13:06.555, 2055 MHz, 62, 13.26 W, 0 %, 0 %
2026/07/19 10:13:06.758, 2055 MHz, 62, 13.06 W, 0 %, 0 %
2026/07/19 10:13:06.973, 2055 MHz, 62, 13.06 W, 0 %, 0 %
2026/07/19 10:13:07.173, 2055 MHz, 62, 13.06 W, 0 %, 0 %
2026/07/19 10:13:07.378, 2055 MHz, 48, 1.20 W, 0 %, 0 %
2026/07/19 10:13:08.068, 2055 MHz, 62, 10.68 W, 0 %, 0 %
2026/07/19 10:13:08.280, 2055 MHz, 62, 10.68 W, 0 %, 0 %
2026/07/19 10:13:08.483, 2055 MHz, 62, 13.08 W, 0 %, 0 %
2026/07/19 10:13:08.697, 2055 MHz, 62, 13.08 W, 0 %, 0 %
2026/07/19 10:13:08.899, 2055 MHz, 48, 1.20 W, 0 %, 0 %
2026/07/19 10:13:09.541, 2055 MHz, 62, 12.11 W, 0 %, 0 %
2026/07/19 10:13:09.744, 2055 MHz, 48, 1.20 W, 0 %, 0 %
2026/07/19 10:13:10.399, 2055 MHz, 62, 10.66 W, 0 %, 0 %
2026/07/19 10:13:10.602, 2055 MHz, 62, 10.66 W, 0 %, 0 %
2026/07/19 10:13:10.805, 2055 MHz, 62, 12.91 W, 0 %, 0 %
2026/07/19 10:13:11.009, 2055 MHz, 62, 12.91 W, 0 %, 0 %
2026/07/19 10:13:11.210, 2055 MHz, 62, 12.91 W, 0 %, 0 %
2026/07/19 10:13:11.417, 2055 MHz, 62, 12.93 W, 0 %, 0 %
2026/07/19 10:13:11.628, 2055 MHz, 62, 12.93 W, 0 %, 0 %
2026/07/19 10:13:11.831, 2055 MHz, 62, 12.93 W, 0 %, 0 %
2026/07/19 10:13:12.035, 2055 MHz, 62, 12.93 W, 0 %, 0 %
2026/07/19 10:13:12.241, 2055 MHz, 62, 12.93 W, 0 %, 0 %
2026/07/19 10:13:12.456, 2055 MHz, 62, 14.21 W, 0 %, 0 %
2026/07/19 10:13:12.659, 2055 MHz, 62, 14.21 W, 0 %, 0 %
2026/07/19 10:13:12.860, 2055 MHz, 62, 13.04 W, 0 %, 0 %
2026/07/19 10:13:13.062, 2055 MHz, 62, 13.04 W, 0 %, 0 %
2026/07/19 10:13:13.268, 2055 MHz, 62, 13.04 W, 0 %, 0 %
2026/07/19 10:13:13.473, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:13.675, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:13.883, 2055 MHz, 62, 13.06 W, 0 %, 0 %
2026/07/19 10:13:14.083, 2055 MHz, 62, 13.06 W, 0 %, 0 %
2026/07/19 10:13:14.287, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:14.490, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:14.693, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:14.895, 2055 MHz, 62, 13.00 W, 0 %, 0 %
2026/07/19 10:13:15.099, 2055 MHz, 62, 13.00 W, 0 %, 0 %
2026/07/19 10:13:15.302, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:15.516, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:15.726, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:15.935, 2055 MHz, 62, 14.10 W, 0 %, 0 %
2026/07/19 10:13:16.147, 2055 MHz, 62, 14.10 W, 0 %, 0 %
2026/07/19 10:13:16.353, 1380 MHz, 48, 590.01 W, 0 %, 0 %
2026/07/19 10:13:16.993, 2055 MHz, 62, 12.20 W, 0 %, 0 %
2026/07/19 10:13:17.205, 2055 MHz, 62, 12.20 W, 0 %, 0 %
2026/07/19 10:13:17.411, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:17.619, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:17.825, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:18.030, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:18.235, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:18.448, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:18.657, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:18.859, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:19.063, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:19.268, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:19.482, 2055 MHz, 62, 13.11 W, 0 %, 0 %
2026/07/19 10:13:19.695, 2055 MHz, 62, 13.11 W, 0 %, 0 %
2026/07/19 10:13:19.899, 2055 MHz, 62, 13.10 W, 0 %, 0 %
2026/07/19 10:13:20.105, 2055 MHz, 62, 13.10 W, 0 %, 0 %
2026/07/19 10:13:20.313, 2055 MHz, 62, 13.10 W, 0 %, 0 %
2026/07/19 10:13:20.516, 2055 MHz, 62, 13.02 W, 0 %, 0 %
2026/07/19 10:13:20.720, 2055 MHz, 62, 13.02 W, 0 %, 0 %
2026/07/19 10:13:20.922, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:21.130, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:21.332, 2055 MHz, 62, 12.99 W, 0 %, 0 %
2026/07/19 10:13:21.535, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:21.737, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:21.946, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:22.151, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:22.353, 2055 MHz, 62, 13.02 W, 0 %, 0 %
2026/07/19 10:13:22.564, 2055 MHz, 62, 13.02 W, 0 %, 0 %
2026/07/19 10:13:22.766, 2055 MHz, 62, 13.02 W, 0 %, 0 %
2026/07/19 10:13:22.976, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:23.179, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:23.381, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:23.585, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:23.787, 2055 MHz, 62, 13.01 W, 0 %, 0 %
2026/07/19 10:13:24.002, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:24.203, 2055 MHz, 62, 13.03 W, 0 %, 0 %
2026/07/19 10:13:24.409, 2055 MHz, 62, 13.04 W, 0 %, 0 %
2026/07/19 10:13:24.610, 2055 MHz, 62, 13.04 W, 0 %, 0 %
2026/07/19 10:13:24.815, 2055 MHz, 48, 1.20 W, 0 %, 0 %
